muni_id,muni_name_first,precip_mean_mean,precip_mean_std,precip_min_mean,precip_max_mean,precip_std_mean,precip_anomaly_mean_mean,precip_anomaly_mean_std,precip_anomaly_min_mean,precip_anomaly_max_mean,precip_anomaly_std_mean,soil_mean_mean,soil_mean_std,soil_min_mean,soil_max_mean,soil_std_mean,soil_anomaly_mean_mean,soil_anomaly_mean_std,soil_anomaly_min_mean,soil_anomaly_max_mean,soil_anomaly_std_mean,mean_distance_to_others_first,min_distance_to_others_first,max_distance_to_others_first,centroid_lon,centroid_lat,cluster,cluster_pca,cluster_spatial,cluster_hierarchical,cluster_gmm,cluster_dbscan,cluster_agglom_spatial,muni_norm,cluster_aligned
281,Nova Petrópolis,5.0026407,10.941688,3.6181574,6.675142,1.0004183,-4.3610573e-09,10.746466,-1.8488071,2.0788643,1.2466846,0.45304686,0.030869154,0.4489571,0.4568735,0.0034082478,0.00034563016,0.030213851,-0.0036631061,0.004108385,0.0033454373,2.0205549220126793,0.0918123301721433,6.298581790205041,-51.08511205158987,-29.37208306736048,8,8,6,5,5,0,5,nova petrópolis,1
282,Nova Prata,5.1854644,11.398205,3.8473685,6.8159456,0.9695048,-7.2402018e-09,11.204303,-1.793153,2.004443,1.2020165,0.4382863,0.044157527,0.43379852,0.44293898,0.003925009,0.00029946474,0.04238554,-0.0038848203,0.0044550397,0.003578364,1.7389950603971436,0.1126301567436989,5.893491601394862,-51.60822777535381,-28.760725543238937,1,8,4,5,5,0,5,nova prata,5
283,Nova Ramada,5.287979,11.989209,4.175382,6.577054,0.8173327,6.054672e-09,11.781569,-1.4911773,1.6159086,1.024132,0.4284914,0.052338373,0.42571318,0.4312697,0.0027782747,-0.0011958431,0.049486663,-0.0038365396,0.0014448535,0.0026406965,1.9820582058316247,0.137886927820488,5.583939408605113,-53.70367440379549,-28.076181899991337,1,3,1,0,1,0,7,nova ramada,3
284,Nova Roma do Sul,5.084314,11.130723,4.068111,6.2494855,0.8092834,1.0182857e-08,10.942078,-1.3517485,1.4679476,1.0208342,0.44418415,0.039916646,0.44418415,0.44418415,0.0,0.0007980627,0.038491827,0.0007980627,0.0007980627,0.0,1.814670104838642,0.09331974722857,6.039667365209295,-51.40847871996109,-28.989313035218434,9,8,8,1,7,0,4,nova roma do sul,5
285,Nova Santa Rita,4.159451,9.391754,3.287177,5.1592116,0.6701901,-9.526582e-10,9.2260895,-1.1846521,1.2802205,0.857783,0.4265842,0.05255046,0.42392966,0.42923877,0.0026545413,0.001034452,0.04756924,-0.0012291422,0.0032980463,0.0022635942,2.044964898137319,0.1120078112999225,6.0545285631361425,-51.28856047555635,-29.84434929911344,3,5,0,9,0,-1,9,nova santa rita,6
286,Novo Cabrais,4.7604985,10.863707,3.796646,5.8881392,0.7617422,-1.5327211e-08,10.673459,-1.3205112,1.4036189,0.9728442,0.41915658,0.061756846,0.41672543,0.42158777,0.0024311678,-0.0010022339,0.056363888,-0.003376632,0.0013721641,0.0023743983,1.8343418199524857,0.1330860171374451,4.357407703497141,-52.995490303317005,-29.76014497764447,1,3,3,9,3,-1,2,novo cabrais,0
287,Novo Hamburgo,4.2976184,9.58067,3.1454892,5.701697,0.861393,-1.2765619e-08,9.418708,-1.5603129,1.7461544,1.0764562,0.43433723,0.04899759,0.43041202,0.43826246,0.003925202,0.0008553189,0.045373097,-0.0022495834,0.0039602215,0.0031049023,2.1324598604765024,0.0620642043640995,6.300046587715198,-51.04904350152524,-29.734751523788308,3,5,0,9,0,-1,9,novo hamburgo,6
288,Novo Machado,5.117686,11.849593,4.029954,6.37731,0.7921655,2.455741e-09,11.628561,-1.4341637,1.5704001,0.98481506,0.41868252,0.060074348,0.41603926,0.4213258,0.0026432718,-0.00257834,0.05608578,-0.005193741,3.706121e-05,0.0026154013,2.6662439788052588,0.1287823010131221,6.21030527071074,-54.53729718639973,-27.54489797669552,6,7,1,0,1,0,3,novo machado,8
289,Novo Tiradentes,5.1347218,11.396019,4.379024,5.9553823,0.64257,9.738284e-10,11.194466,-0.9930189,1.0436062,0.8156083,0.42198431,0.05663747,0.42198431,0.42198431,0.0,-0.0011302189,0.05376354,-0.0011302189,-0.0011302189,0.0,2.02198220258156,0.0668577267022242,6.095673298114383,-53.16712181240057,-27.561813734901495,6,7,1,0,1,0,3,novo tiradentes,3
290,Novo Xingu,5.1722927,11.557351,4.652885,5.712457,0.46951434,2.2906136e-08,11.351366,-0.6830772,0.6951223,0.6044363,0.42009404,0.05869229,0.42009404,0.42009404,0.0,-0.0007868024,0.05534974,-0.0007868024,-0.0007868024,0.0,1.9027542061226543,0.081983448512218,5.918890257038416,-53.058482975693025,-27.744257212317347,6,7,1,0,1,0,3,novo xingu,3
